Va	Vb	Vc	Ia	Ib	Ic
0.855951444	0.066597075	0.079163366	0.148940225	0.652133632	0.631676317
0.873745765	0.048656108	0.872254018	0.168283707	0.658948626	0.165369815
0.825626034	0.135769493	0.126689301	0.118964533	0.603613477	0.576124553
0.403049558	0.877397165	0.485476667	0.565073353	0.17050945	0.607680757
0.877186389	0.459486452	0.429337063	0.170464515	0.559805315	0.524425577
0.055325397	0.873105976	0.873992297	0.654764617	0.164809486	0.168390185
0.882341016	5.49654E-06	0.874400967	0.175074717	0.699347069	0.16975317
0.069785342	0.065481766	0.085416836	0.670524801	0.670280639	0.672648397
0.85604952	0.111457697	0.864664285	0.155655531	0.592147529	0.156739986
0.055929877	0.044804679	0.075008181	0.674358184	0.674667543	0.67575772
0.867961146	0.865183535	0.077458482	0.15997242	0.161532724	0.623469451
0.233729428	0.245454141	0.826021324	0.607520507	0.580933445	0.119083791
0.411821001	0.877842214	0.470105823	0.551603941	0.170471912	0.590703538
0.445625193	0.87765636	0.438091324	0.562608739	0.170735013	0.592327799
0.099479909	0.134917122	0.177436654	0.618233783	0.618618792	0.619693567
0.856009285	0.068858579	0.071803538	0.148900178	0.649699891	0.629097517
0.87774804	0.480995525	0.410275843	0.1707808	0.559512976	0.517346597
0.877427091	0.473461736	0.404076271	0.170625315	0.625922793	0.586025578
0.860581039	0.844636532	0.137251518	0.154166888	0.148921443	0.566218695
0.877187864	0.459486615	0.429338254	0.170462139	0.559805086	0.524425429
0.841772789	0.092716749	0.099687553	0.13480321	0.629589531	0.604355651
0.013703427	0.876181197	0.882861985	0.697145378	0.170690104	0.175546772
0.562241216	0.877252009	0.553861655	0.537017313	0.170501865	0.565789587
0.84342229	0.137210845	0.860757557	0.148722925	0.566247741	0.15411693
0.877363271	0.473563599	0.410207113	0.170541286	0.609089902	0.569261452
0.877264595	0.437030638	0.446302988	0.170597023	0.575699295	0.546043036
0.028029708	0.027554345	0.881655509	0.694791698	0.694828843	0.175336531
0.866895053	0.095272101	0.867286818	0.162458229	0.617731491	0.159404028
0.867962056	0.865860936	0.077575805	0.160486551	0.16166866	0.623309014
0.86391104	0.857045617	0.130360764	0.155158301	0.156922718	0.586533174
